фамилия,имя,отчество,номер,электронная почта,адрес,дата рождения,ссылка на телеграмм,количество покупок за месяц,ИНН,почтовый индекс,количество времени проведенного на сайте,пол,количество отзывов,количество комментариев
Рябов,,Демидович,88437044497.0,,,,https://t.me/ufedoseev,,,330579.0,,,24.0,65.0
,,,,,,,,,,,,m,,
,Леон,,,varlaam2006@example.org,,1982-10-15,https://t.me/efremovseliverst,,966578070242.0,330579.0,11:19:10,m,,
Богданов,Максимильян,,76497406693.0,,"к. Псебай, пер. Тракторный, д. 6, 464750",1935-02-28,https://t.me/efremovseliverst,,282267895097.0,330579.0,,,19.0,
,Глафира,Эдгардович,,kuprijan1998@example.org,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/nmorozova,16.0,,463968.0,,m,,
Кудряшова,,Демидович,,,"п. Ставрополь, пр. Карла Маркса, д. 9/1, 083026",,,,966578070242.0,,,,,95.0
Дроздова,,Ермолаевич,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,,673819.0,7:36:22,f,,95.0
Зыкова,,Демидович,,yandreeva@example.net,,,,16.0,966578070242.0,330579.0,19:56:43,,55.0,
,Фока,Демидович,72748602331.0,,"с. Каргасок, ш. Енисейское, д. 367 стр. 6/8, 933395",1935-02-28,,,966578070242.0,,11:19:10,m,,76.0
Цветков,Фока,Демидович,,kirillovapelageja@example.org,"клх Саранск, ул. Целинная, д. 5, 496084",1997-07-23,,,966578070242.0,,,m,,
Жданов,Кузьма,Демидович,75379834749.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-06-23,https://t.me/efremovseliverst,,,,,,,8.0
,,Демидович,78692050926.0,firs53@example.com,"с. Чегем, алл. Марта 8, д. 26, 917211",,,,,928616.0,,m,52.0,
Потапов,Август,Борисович,,,,,https://t.me/efremovseliverst,16.0,79727680375.0,,,,52.0,95.0
,,Демидович,,gordeevpanfil@example.net,"г. Геленджик, пер. Чкалова, д. 822 стр. 55, 015850",1955-07-26,https://t.me/efremovseliverst,,,,3:10:57,m,,
,,Демидович,,andre2024@example.com,"к. Меренга, наб. Тульская, д. 5 к. 722, 949219",,https://t.me/efremovseliverst,31.0,966578070242.0,,,m,,95.0
,Мартьян,,74671587785.0,haritonpoljakov@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1994-09-25,https://t.me/agafontrofimov,16.0,966578070242.0,,11:19:10,f,52.0,22.0
Бурова,Сильвестр,Демидович,77846588096.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,16.0,,330579.0,,m,23.0,
Зыков,Пимен,Демидович,71324766732.0,rjabovfilimon@example.com,"г. Кировск (Ленин.), алл. Л.Толстого, д. 7 стр. 5, 324139",,,,,330579.0,,f,52.0,95.0
Самойлов,,,76059342229.0,rjabovfilimon@example.com,,2007-12-08,,18.0,,330579.0,11:19:10,,,
,Фока,Демидович,83596339174.0,,,1961-12-05,,16.0,966578070242.0,330579.0,14:54:21,,31.0,95.0
,Демид,Власович,,kuzma_53@example.net,"д. Кулунда, пр. Красноармейский, д. 730 к. 2, 321994",,https://t.me/efremovseliverst,16.0,966578070242.0,330579.0,9:19:7,,52.0,
Афанасьева,,Демидович,,kkuzmina@example.com,"п. Завьялиха, пр. Рылеева, д. 7, 791723",1935-02-28,,16.0,966578070242.0,330579.0,,,,95.0
Селиверстов,Марина,,80780901119.0,lukjan00@example.org,,1935-02-28,https://t.me/efremovseliverst,,,,11:19:10,,47.0,95.0
Зыкова,,Демидович,85511200439.0,radovanefremov@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,,,21:52:2,,28.0,
,,,,vadim1986@example.org,,,,,,330579.0,22:58:44,,52.0,95.0
,Юлиан,Демидович,78917229621.0,,,1978-12-24,,16.0,,,11:19:10,m,,95.0
Мухин,Пантелеймон,Демидович,,kimkazakov@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1954-05-28,,21.0,,,2:39:51,,52.0,95.0
Ширяева,Аникита,,,zchernova@example.net,,1950-12-03,,16.0,966578070242.0,,,m,52.0,
Кошелева,Фока,,74039472811.0,rjabovfilimon@example.com,"п. Великие Луки, наб. Западная, д. 342, 656504",,https://t.me/efremovseliverst,,966578070242.0,,22:59:18,,52.0,95.0
,,,,,,1982-08-10,,16.0,966578070242.0,,14:27:53,,59.0,95.0
Щербаков,,,71334037593.0,,"п. Вытегра, пр. 40 лет Победы, д. 981 стр. 935, 936557",1934-10-12,,16.0,,,22:27:45,m,,95.0
Коновалова,,,87931166460.0,velimir1977@example.com,,1935-02-28,,,966578070242.0,330579.0,19:10:48,,,95.0
Анисимов,Фока,,72748602331.0,,"клх Ершов, ул. Светлая, д. 896 к. 16, 759422",1935-02-28,,5.0,,330579.0,,,52.0,6.0
Ларионов,,Демидович,79406976273.0,rjabovfilimon@example.com,,1935-02-28,https://t.me/efremovseliverst,3.0,,330579.0,,,5.0,
,Соломон,Демидович,84659733456.0,mkomissarova@example.org,,,,,,330579.0,,,52.0,95.0
,,,,ipat_1990@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1948-12-06,https://t.me/ernest2019,,966578070242.0,,11:19:10,,16.0,95.0
Осипова,,Демидович,,,,,https://t.me/efremovseliverst,,903961197165.0,330579.0,,f,,95.0
Ильин,Фока,Демидович,81603702043.0,,"д. Ревда (Сверд.), алл. Степная, д. 2 стр. 539, 121753",,https://t.me/kolobovaalla,16.0,,,,,38.0,95.0
Герасимов,Филарет,,83267615546.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,966578070242.0,,7:20:21,f,52.0,
,,Демидович,,litkinsavva@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,,330579.0,11:19:10,m,12.0,95.0
,,Богдановна,86271095477.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,,,966578070242.0,330579.0,6:55:39,,84.0,
Андреев,,,,uvarovvsevolod@example.org,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,16.0,,430748.0,7:52:12,,,
,София,Демидович,,,"г. Верещагино (Перм.), алл. Пархоменко, д. 7, 883477",1965-10-17,https://t.me/budimir94,16.0,,,,m,80.0,
Хохлова,Андрей,,74767820304.0,birjukovanaina@example.net,,1980-08-08,,16.0,966578070242.0,330579.0,11:19:10,,48.0,
Константинов,Тарас,,,lazar19@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,19.0,,330579.0,,,52.0,95.0
,Фока,Демидович,,vasilevazhanna@example.com,,1935-02-28,https://t.me/agge_1971,9.0,,,11:19:10,m,,
,Владлен,Демидович,82678077302.0,,"п. Грозный, ул. Привокзальная, д. 19 стр. 7/7, 585426",,https://t.me/efremovseliverst,16.0,887175370398.0,330579.0,,,52.0,76.0
Зыкова,,Федосеевич,,lukinkarl@example.com,,,https://t.me/panisimov,16.0,966578070242.0,,,,52.0,
Кошелева,Терентий,,,ljubomirsmirnov@example.net,"к. Петропавловск-Камчатский, алл. Николаева, д. 3 стр. 11, 115474",,https://t.me/kira_74,,966578070242.0,,11:19:10,,,87.0
Харитонова,,Демидович,78958554021.0,,,1935-02-28,,16.0,,702656.0,11:19:10,,,95.0
,,,72748602331.0,rjabovfilimon@example.com,,,https://t.me/efremovseliverst,16.0,966578070242.0,330579.0,11:19:10,,52.0,31.0
Бурова,,Демидович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,,,21:34:27,,,74.0
Гурьев,,Демидович,75144120366.0,gefimova@example.org,,,https://t.me/efremovseliverst,16.0,,330579.0,5:27:51,f,,
,Октябрина,,,havdeeva@example.org,,,,,,,,m,,4.0
,Назар,Яковлевна,,feliks1989@example.com,,1991-08-20,https://t.me/mariansergeev,16.0,966578070242.0,,,,,95.0
Чернов,Ираида,,,vlas2017@example.com,,,https://t.me/efremovseliverst,,966578070242.0,330579.0,11:19:10,f,62.0,
Давыдова,,,87352397363.0,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,16.0,966578070242.0,838392.0,,,52.0,
Никонов,Фока,Демидович,72748602331.0,rjabovfilimon@example.com,"д. Агата, ш. Детское, д. 414, 358986",,,16.0,889656611362.0,540665.0,2:52:16,,,
Красильников,,Демидович,85712809368.0,zbobrova@example.net,"ст. Агата, ш. Труда, д. 96 стр. 6, 904729",,https://t.me/efremovseliverst,,,,,,52.0,
,Фаина,,78729638698.0,,"к. Красноселькуп, алл. Большая, д. 184, 606267",2010-05-15,https://t.me/efremovseliverst,44.0,,330579.0,11:19:10,,54.0,95.0
Орлов,,Богдановна,,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,16.0,,,,m,,95.0
Воронцов,Пахом,,,rjabovfilimon@example.com,"с. Вуктыл, ш. Полевое, д. 376 к. 58, 348411",1980-08-04,https://t.me/efremovseliverst,,,330579.0,,,52.0,37.0
Сафонова,,,,rjabovfilimon@example.com,,,https://t.me/efremovseliverst,,966578070242.0,,21:2:9,,,
,,Демидович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1987-10-21,https://t.me/efremovseliverst,47.0,966578070242.0,,23:45:53,,61.0,28.0
,Валерьян,,72748602331.0,,,,,16.0,,330579.0,3:32:28,f,18.0,
,,,,arhipovplaton@example.net,,1938-03-14,https://t.me/efremovseliverst,38.0,,,,f,52.0,
,,,73865042533.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,16.0,966578070242.0,,11:19:10,m,52.0,95.0
,Надежда,,74003780115.0,,"г. Брянск, ш. Дзержинского, д. 45, 367387",,https://t.me/anatoli21,23.0,966578070242.0,,,,,27.0
Архипова,,,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1998-10-06,https://t.me/borislavmakarov,,,,,m,,95.0
,,Демидович,,,,1935-02-28,https://t.me/efremovseliverst,,,,11:19:10,m,52.0,
,,Демидович,89397721305.0,rjabovfilimon@example.com,"ст. Златоуст, бул. Чкалова, д. 380 стр. 2/6, 234626",1947-11-10,,16.0,,,,m,52.0,
,,,,nikanor1985@example.org,,,https://t.me/efremovseliverst,9.0,752384130058.0,,,,52.0,
,,,72748602331.0,,,1966-05-07,,,966578070242.0,330579.0,,,,65.0
,,Демидович,76128495423.0,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1970-04-03,https://t.me/saveli1976,,,,11:19:10,,,95.0
,,,,lapinmodest@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,https://t.me/ustinovaakulina,,966578070242.0,276524.0,3:35:38,,,95.0
,Маргарита,Демидович,86058054119.0,,"ст. Плесецк, наб. Водопроводная, д. 7/1, 285921",1971-01-08,,,966578070242.0,,,m,52.0,32.0
,,Демидович,86114093711.0,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1941-08-22,,,966578070242.0,,,m,29.0,95.0
Гордеев,,,74521147791.0,nikitinasinklitikija@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,,,966578070242.0,330579.0,,,,95.0
,Пахом,,72748602331.0,rjabovfilimon@example.com,"к. Нижнекамск, ул. Коминтерна, д. 348, 088386",2003-02-26,https://t.me/drozdovvladlen,,,,7:50:30,m,,
,,Демидович,70383181497.0,rjabovfilimon@example.com,"к. Тутаев, пр. Лазурный, д. 87, 207236",1987-07-15,https://t.me/muravevandron,16.0,886372391775.0,,20:7:3,,,
,,Демидович,72748602331.0,,"с. Дудинка, ул. Королева, д. 1/8, 568943",,,38.0,612828603664.0,948570.0,7:23:41,f,52.0,
Красильников,,Демидович,75459747406.0,,"д. Невельск, ш. Клубное, д. 5/1 стр. 7, 182251",,https://t.me/orehovaeleonora,,966578070242.0,,11:19:10,,52.0,95.0
,,Демидович,,,,1935-02-28,,16.0,,330579.0,11:19:10,m,,36.0
Быкова,,,89370399617.0,,,1935-02-28,https://t.me/efremovseliverst,30.0,,,11:19:10,m,,8.0
,,,,,"к. Каргополь, пр. Прудовой, д. 21, 741199",1961-08-06,,,,,,,61.0,
Лебедева,Фока,Демидович,72748602331.0,arhipovandron@example.net,,1935-02-28,,30.0,354022629357.0,330579.0,,,,95.0
,,Демидович,,dobromisl_1986@example.com,"п. Северобайкальск, пр. Свердлова, д. 447 стр. 6, 385933",,,15.0,966578070242.0,,12:36:37,,75.0,
,Ксения,Демидович,,dtihonova@example.com,"г. Губаха, пр. Блюхера, д. 2/6 к. 8, 976715",1965-10-08,https://t.me/efremovseliverst,28.0,966578070242.0,330579.0,,f,48.0,
,Варфоломей,Демидович,70871202920.0,emeljan33@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,,,,330579.0,11:38:48,,,95.0
,Мокей,Демидович,,fotimolchanov@example.com,"к. Новый Оскол, ш. Титова, д. 6/2, 732071",,,,,,,,,95.0
,,,72748602331.0,,"д. Вендинга, пр. Вавилова, д. 8 к. 3, 866563",1935-02-28,https://t.me/efremovseliverst,,966578070242.0,,19:25:35,f,,95.0
,Евлампий,Андреевич,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1933-09-07,,,,520449.0,,,42.0,
Осипов,Наркис,Демидович,,longindmitriev@example.com,,1935-02-28,https://t.me/efremovseliverst,,,330579.0,,,52.0,95.0
,Мартын,,,sobolevairina@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/svjatopolk_36,37.0,966578070242.0,317774.0,11:19:10,m,,
Лебедев,,,,,,1987-11-05,,16.0,966578070242.0,,,m,52.0,95.0
,Фока,,,rjabovfilimon@example.com,,1935-02-28,,,966578070242.0,330579.0,,m,49.0,92.0
Мельников,Михаил,Демидович,89915586390.0,,,1934-08-11,,17.0,,,21:47:16,,16.0,
,,Демидович,89430551958.0,luchezar34@example.org,,,https://t.me/timofe17,,,,,,,95.0
Панов,,,,,"д. Псебай, пр. Есенина, д. 96 к. 8, 276086",1935-02-28,https://t.me/efremovseliverst,,966578070242.0,,,f,,95.0
,Мокей,,,panfil_47@example.org,,,https://t.me/efremovseliverst,16.0,966578070242.0,330579.0,,m,58.0,82.0
,,Демидович,,taras90@example.org,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/taras1978,,,,15:29:25,,,95.0
,Фока,,,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,,330579.0,,,,95.0
,,,84284030353.0,nsavelev@example.net,,,https://t.me/efremovseliverst,,966578070242.0,330579.0,,,,95.0
Бобылев,Клавдий,Демидович,79290490200.0,samsonovostap@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,https://t.me/efremovseliverst,,,330579.0,11:19:10,m,,
,Фока,Демидович,70542092170.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1944-05-09,,16.0,966578070242.0,330579.0,11:17:45,,,
,,,72748602331.0,,"п. Брянск, ул. Проточная, д. 32 к. 221, 899298",1935-02-28,https://t.me/efremovseliverst,,,330579.0,,,,
,Фока,,89778528433.0,rjabovfilimon@example.com,"с. Невинномысск, алл. Береговая, д. 720 стр. 3, 032060",,,,,,,,,95.0
,Павел,,72504395346.0,trofimovauljana@example.org,,,https://t.me/beljaevonufri,16.0,966578070242.0,330579.0,,m,,95.0
Ларионов,Фока,,,,,1940-12-01,,16.0,,330579.0,16:0:17,,,95.0
,Фока,,79447584895.0,naina_46@example.org,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",2000-02-24,https://t.me/gedeonarhipov,,966578070242.0,330579.0,11:19:10,m,55.0,10.0
Сорокина,,,71140446020.0,mechislav_64@example.net,,,https://t.me/dorofe_68,,966578070242.0,,16:31:36,f,52.0,95.0
Щукин,Лидия,,75375726119.0,,,1957-04-25,,,,,11:19:10,m,52.0,
,Фока,,73668210017.0,,,,https://t.me/efremovseliverst,16.0,966578070242.0,,,m,84.0,
,,Демидович,,golubevamaja@example.org,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/plavrenteva,,,330579.0,11:19:34,m,75.0,
,,Рудольфовна,80453439421.0,,,1961-04-21,,39.0,966578070242.0,330579.0,,m,72.0,52.0
,Давыд,Демидович,88198370397.0,,,,https://t.me/efremovseliverst,16.0,966578070242.0,,1:26:41,m,,76.0
,Станимир,,,,"п. Кабанск, ш. Разина, д. 8, 781249",1950-04-16,,17.0,,,15:19:55,m,,95.0
Борисова,Николай,Демидович,80323094189.0,rjabovfilimon@example.com,"к. Бугуруслан, наб. Ватутина, д. 212 стр. 57, 496198",,https://t.me/efremovseliverst,,,330579.0,,f,,95.0
,,Семеновна,72748602331.0,zinovi1986@example.org,"д. Ржев, бул. Веселый, д. 5 стр. 14, 119187",,https://t.me/efremovseliverst,,315253985583.0,,,,,95.0
Котов,,,72748602331.0,,,2005-02-17,,16.0,,330579.0,3:52:11,m,,23.0
Александров,Фока,Демидович,,eduard1991@example.net,"к. Черкесск, бул. Дарвина, д. 4, 334107",1953-02-21,,16.0,,,10:18:23,m,,95.0
,Лазарь,Демидович,82530561755.0,,"к. Шуя, наб. Большевистская, д. 322, 382167",2007-06-14,https://t.me/martinovataisija,,966578070242.0,,11:19:10,,,
,,,86873736285.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1993-11-13,,1.0,,,11:19:10,m,,
,,,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,,330579.0,,,,
Лебедева,Прокл,,86306052069.0,,"клх Ростов, пер. Станиславского, д. 9/6 к. 6/1, 563241",,https://t.me/pahomorehov,,156760852948.0,250360.0,21:36:11,,52.0,95.0
Самойлов,Варлаам,,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1999-01-16,,16.0,966578070242.0,330579.0,23:23:20,,80.0,95.0
,Эраст,Демидович,79822395183.0,,"п. Уварово, ул. Ягодная, д. 3, 157794",,https://t.me/efremovseliverst,34.0,966578070242.0,,20:50:44,m,,
,,,72748602331.0,rjabovfilimon@example.com,"с. Южноуральск, наб. Аэродромная, д. 1/8, 438298",,,,966578070242.0,330579.0,17:8:21,m,52.0,95.0
Лапин,,Игоревич,,guri2013@example.net,,,https://t.me/efremovseliverst,16.0,966578070242.0,330579.0,,,,98.0
,Фока,,84927110524.0,,,,,16.0,,,11:35:34,m,,
,,,,,,1935-02-28,,16.0,966578070242.0,330579.0,23:6:2,f,,25.0
Селезнев,Полина,,,leontivoronov@example.net,,,,,966578070242.0,330579.0,,m,51.0,
,,Демидович,88437323314.0,,,,,16.0,,,11:19:10,m,,46.0
Бобров,Капитон,,85478333782.0,ermil2014@example.net,"клх Агинское (Забайк.), наб. Маркса, д. 5/3, 014154",,,,966578070242.0,330579.0,19:25:46,m,,95.0
Власов,Устин,,72748602331.0,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1954-03-05,,8.0,966578070242.0,592685.0,11:19:10,,92.0,95.0
,Елена,Демидович,,veniamin_2013@example.com,,1935-02-28,https://t.me/andreevaolga,16.0,40656295960.0,,,,52.0,
Селиверстова,Ювеналий,Демидович,75762370112.0,,,1964-05-02,https://t.me/efremovseliverst,16.0,,330579.0,9:49:24,m,,68.0
,Моисей,Демидович,80561630802.0,afinogen2017@example.org,,1996-05-12,,,966578070242.0,,,,26.0,
Кулакова,Фока,Демидович,,,,,https://t.me/efremovseliverst,16.0,966578070242.0,330579.0,11:19:10,,52.0,95.0
,,Еремеевич,,radovan1979@example.org,,1958-05-11,https://t.me/efremovseliverst,16.0,,330579.0,,,,95.0
,Ипполит,,72748602331.0,,,,https://t.me/bolshakovsokrat,16.0,,481243.0,,,52.0,95.0
,,,,,,1935-02-28,,,,563718.0,11:19:10,m,,
,Тимофей,,72748602331.0,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/zikovfirs,16.0,966578070242.0,,,,,95.0
,,Демидович,,rjabovfilimon@example.com,"г. Йошкар-Ола, бул. Чернышевского, д. 565 стр. 1/7, 236579",1949-11-28,https://t.me/valerija1984,,,330579.0,,m,52.0,95.0
,,Демидович,,,,1984-07-10,https://t.me/efremovseliverst,16.0,324755102336.0,,22:17:51,,37.0,
Зыкова,,Демидович,,nikolaevadarja@example.com,,,https://t.me/demid_2016,,966578070242.0,330579.0,19:54:45,,,70.0
Хохлов,Нифонт,,72748602331.0,,"клх Ноябрьск, ул. Свободная, д. 5 к. 63, 657810",,,16.0,216325898662.0,,,m,,95.0
,,,,,"к. Дно, ш. Лунное, д. 28, 540817",,https://t.me/jguljaev,,474614309015.0,,7:52:49,m,,95.0
Морозов,Вячеслав,Демидович,81315143527.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,32.0,966578070242.0,,,m,49.0,95.0
Исакова,Фока,,,,"к. Смирных, ул. Октября, д. 7 стр. 1/4, 225649",,https://t.me/martinsokolov,16.0,,,11:19:10,,57.0,95.0
,Андроник,Демидович,,saveli65@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1970-10-08,https://t.me/efremovseliverst,16.0,,,,m,52.0,95.0
Петров,Якуб,,,,"п. Александровск-Сахалинский, пр. Дальневосточный, д. 13 стр. 5, 174906",,,,,330579.0,,m,96.0,19.0
Третьякова,,Демидович,,,,,,16.0,966578070242.0,330579.0,4:22:54,m,14.0,95.0
Федотов,,,85112849583.0,zmishina@example.org,,1991-10-06,https://t.me/kononovkazimir,16.0,,,,m,,95.0
Алексеева,Роман,Евсеевич,,hohlovharlampi@example.org,,2008-02-05,https://t.me/zatsevfeoktist,,966578070242.0,575157.0,,m,,95.0
,,,,arkadi_1978@example.org,,1935-02-28,https://t.me/maja_1977,,966578070242.0,,14:13:22,m,,
,Климент,Демидович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,,,,,11:19:10,m,,
Одинцов,,,,,,1995-08-07,,,966578070242.0,,,,,
,Милий,Демидович,,,"к. Красноуральск, пер. Мирный, д. 1 стр. 169, 615518",,,,,,11:19:10,m,52.0,19.0
,,,72748602331.0,evgenija_87@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,,15.0,,,,,,95.0
Яковлев,Глеб,,,ziminaanastasija@example.net,"ст. Куртамыш, алл. Ростовская, д. 6 стр. 1/3, 908061",,,,966578070242.0,330579.0,,f,46.0,95.0
Зыкова,,,87460353651.0,ernst_65@example.net,"п. Красногорск (Моск.), наб. Сельская, д. 80, 580878",1935-02-28,https://t.me/efremovseliverst,,826003505462.0,330579.0,12:14:41,m,52.0,
,,,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1950-10-17,,,966578070242.0,330579.0,12:24:28,m,,51.0
,,Яковлевна,77365681704.0,ovchinnikovsila@example.org,"с. Салехард, пр. Розы Люксембург, д. 10, 530301",,,16.0,966578070242.0,,11:19:10,m,,95.0
Емельянова,,,,ekaterina_43@example.net,,,https://t.me/efremovseliverst,,966578070242.0,,8:39:32,,10.0,95.0
,,Егорович,,smirnovaljubov@example.org,"д. Бомнак, пер. Индустриальный, д. 279 к. 5/6, 316091",,,,966578070242.0,,11:19:10,m,,95.0
,Фока,,,galkinaanzhela@example.com,,1940-07-04,,24.0,,330579.0,3:19:59,,,
,,,,rusakovamarina@example.org,,,https://t.me/mihail2008,23.0,966578070242.0,,,,,
,,,83399668821.0,,,,,,966578070242.0,330579.0,14:56:56,,52.0,
,Елена,,70353784929.0,,,,https://t.me/tverdislav_1985,,966578070242.0,,,,1.0,57.0
,Антип,,72622952633.0,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1966-12-04,,35.0,,330579.0,11:19:10,m,,98.0
,,,85564128129.0,vivanov@example.com,"клх Артем, алл. Надежды, д. 4/7 стр. 4, 696327",,,16.0,,,,,52.0,
Савельева,Аркадий,,,,,,https://t.me/efremovseliverst,14.0,,,,m,23.0,95.0
,Виссарион,,73249995924.0,,,,,16.0,,,,,52.0,18.0
Петухов,Тимофей,,70427977469.0,ljubomir_88@example.org,"д. Якутск, пер. Отрадный, д. 868, 489918",,,40.0,966578070242.0,,6:36:3,m,36.0,
,,Демидович,,,,,https://t.me/efremovseliverst,16.0,966578070242.0,330579.0,14:30:7,f,52.0,95.0
Волкова,Лаврентий,Демидович,86266786788.0,bobrovanonna@example.org,,,https://t.me/spartakturov,16.0,966578070242.0,,18:28:52,m,52.0,
,Селиван,,72748602331.0,,,1985-10-03,,16.0,,,,,,
Комарова,Фока,Артурович,72572191283.0,,,2001-12-02,,,966578070242.0,,,m,62.0,95.0
Цветкова,,Демидович,,,,,,,,42005.0,,,,95.0
Хохлова,,Демидович,80582452723.0,,,1976-02-09,https://t.me/drozdovfilipp,16.0,966578070242.0,932915.0,,f,68.0,95.0
Пахомов,,Демидович,,rjabovfilimon@example.com,,1948-04-26,https://t.me/fekla_2021,,966578070242.0,,4:23:57,,39.0,
,Фока,,,,,1983-07-13,https://t.me/efremovseliverst,22.0,,,9:14:49,m,,25.0
Кузьмин,,,72748602331.0,,"с. Комсомольск-на-Амуре, наб. Юбилейная, д. 314 к. 7/4, 072010",,,23.0,,330579.0,11:19:10,,,
,,Демидович,,,"г. Брянск, ш. Революционное, д. 4 к. 6/3, 821240",1951-09-08,https://t.me/efremovseliverst,16.0,,330579.0,,m,,95.0
,Валерьян,,,beljakovaregina@example.org,"с. Саянск, пр. Главный, д. 719, 207610",1935-02-28,,3.0,966578070242.0,303680.0,9:10:49,f,52.0,95.0
,,Демидович,88991178121.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,128515488809.0,,19:20:19,m,,
,Фока,Демидович,,,"д. Елабуга, алл. Рабочая, д. 3/9, 209752",1932-10-21,https://t.me/spartakvladimirov,,,131867.0,11:19:10,,,
,,Демидович,,rjabovfilimon@example.com,,2001-04-23,,,,1980.0,11:19:10,f,,95.0
Петухов,,,72748602331.0,,"с. Геленджик, пр. Безымянный, д. 546 к. 3/3, 571593",1935-02-28,https://t.me/efremovseliverst,,966578070242.0,556439.0,11:19:10,f,,95.0
Захаров,Николай,Демидович,88620731533.0,rjabovfilimon@example.com,,,https://t.me/viktorbelozerov,16.0,,925061.0,16:6:36,,52.0,
,,Ермилович,,valentin_67@example.com,"г. Карталы, пр. Герцена, д. 68 к. 1/7, 340893",1935-02-28,https://t.me/terentevaregina,16.0,887177158447.0,,17:57:17,,,95.0
Федотова,,Демидович,72748602331.0,evgeni_95@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1932-03-01,,,462124424919.0,,,,,
Казакова,Аверьян,,,evseevvitali@example.com,,1978-04-12,https://t.me/jakovlevuljan,,966578070242.0,330579.0,,f,74.0,95.0
Щербаков,,,,silahohlov@example.org,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,https://t.me/efremovseliverst,,,,19:41:31,m,,
Зыкова,Зоя,Демидович,72034116491.0,,,,https://t.me/duvarova,,,333237.0,11:19:10,f,52.0,95.0
,Доброслав,,,,,1935-02-28,https://t.me/efremovseliverst,,,330579.0,,m,,35.0
Кузьмина,Емельян,Демидович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1969-09-10,,,966578070242.0,330579.0,22:51:56,,,
